"datetime","dataset","score","train_score","family","alpha","nlambda","nfolds"
"2016-04-07 19-29-44","blend",0.837711786629945,0.839148729358537,"binomial",1,100,10
"2016-04-07 22-59-32","blend",0.840146420389507,0.840974689310763,"binomial",1,100,10
"2016-04-07 23-30-44","blend",0.840014731620917,0.841025599952383,"binomial",1,100,10
"2016-04-08 00-16-50","blend",0.840239526623283,0.84120292434441,"binomial",1,100,10
"2016-04-08 01-45-44","blend",0.840051847987536,0.840999545870338,"binomial",1,100,10
"2016-04-08 02-01-29","blend",0.83950603727994,0.841062527356331,"binomial",0,100,10
