"datetime","dataset","score","train_score","seed","eta","gamma","max_depth","min_child_weight","subsample","colsample_bytree","num_parallel_tree","objective","nrounds","early.stop.round"
"2016-03-20 09-45-18","blend",0.807133781145419,0.894017494646756,1234,0.02,0,6,1,0.9,0.85,1,"binary:logistic",1e+05,100
"2016-04-07 19-10-28","1hot",0.840352539960642,0.888876576212771,1234,0.0202048,0,5,1,0.6815,0.701,1,"binary:logistic",560,100
"2016-04-07 22-47-28","1hot",0.841181735481984,0.888604520052664,1234,0.02,0,5,1,0.6,0.7,1,"binary:logistic",560,100
"2016-04-07 23-13-47","1hot",0.840301192200553,0.876674546212747,1234,0.01,0,5,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-07 23-26-36","1hot",0.840485610661057,0.87820404877703,1234,0.01,0,5,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-07 23-38-25","1hot",0.798665612549409,0.890524836124286,1234,0.01,0,5,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-07 23-50-48","1hot",0.840325135819993,0.873187504207265,1234,0.01,0,5,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 00-03-08","1hot",0.84076550991035,0.890232192139648,1234,0.02,0,5,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 00-10-40","1hot",0.840312853246362,0.888381621506986,1234,0.02,0,5,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 00-18-52","1hot",0.840620240872675,0.878386108619131,1234,0.02,0,5,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 00-26-55","1hot",0.840114982009661,0.884269276979098,1234,0.02,0,5,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 00-34-10","1hot",0.838688814706647,0.891593768358976,1234,0.05,0,5,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 00-39-03","1hot",0.839043504470556,0.892617226612996,1234,0.05,0,5,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 00-44-08","1hot",0.838097423015424,0.893342556411595,1234,0.05,0,5,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 00-49-18","1hot",0.839045678679605,0.888993960734814,1234,0.05,0,5,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 00-54-11","1hot",0.840851715591637,0.886203721994548,1234,0.01,0,6,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 01-06-52","1hot",0.83745197661693,0.889110878541825,1234,0.01,0,6,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 01-20-15","1hot",0.778965568797493,0.89747819115788,1234,0.01,0,6,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 01-32-15","1hot",0.839882077549042,0.90220349416476,1234,0.01,0,6,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 01-47-01","1hot",0.839646803086727,0.899475089474508,1234,0.02,0,6,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 01-57-17","1hot",0.839988739008656,0.896206948202044,1234,0.02,0,6,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 02-05-43","1hot",0.840295386720895,0.902532088866768,1234,0.02,0,6,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 02-14-22","1hot",0.840028161630528,0.895948174068734,1234,0.02,0,6,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 02-21-58","blend",0.835449796452143,0.865069852259786,1234,0.02,0,5,1,0.7,0.85,1,"binary:logistic",1e+05,100
"2016-04-08 02-22-41","1hot",0.838463653162232,0.903142306248696,1234,0.05,0,6,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 02-29-31","1hot",0.838016346646165,0.912431736210515,1234,0.05,0,6,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 02-36-12","1hot",0.838252996210329,0.907442625377962,1234,0.05,0,6,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 02-43-49","1hot",0.838474344351439,0.914080185084702,1234,0.05,0,6,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 02-52-35","1hot",0.838883022799517,0.901869214646004,1234,0.01,0,7,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 03-13-19","1hot",0.820379923247097,0.917317026853499,1234,0.01,0,7,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 03-35-25","1hot",0.839931248823423,0.907146609661804,1234,0.01,0,7,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 04-00-22","1hot",0.839769585566523,0.894301958596721,1234,0.01,0,7,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 04-19-28","1hot",0.839079304928452,0.914604617967201,1234,0.02,0,7,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 02-50-19","blend",0.836127371058066,0.849355231590464,1234,0.02,0,3,1,0.8,0.8,1,"binary:logistic",1e+05,100
"2016-04-08 04-33-06","1hot",0.839521368299557,0.910717703629453,1234,0.02,0,7,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 04-45-26","1hot",0.839933639315047,0.911698171737435,1234,0.02,0,7,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 04-55-08","1hot",0.838360950812079,0.907566723766481,1234,0.02,0,7,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 05-03-41","1hot",0.837046788286624,0.913249136363186,1234,0.05,0,7,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 05-09-25","1hot",0.834041528239747,0.912238001662653,1234,0.05,0,7,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 05-15-23","1hot",0.83526952834043,0.914594974040991,1234,0.05,0,7,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 05-21-07","1hot",0.837597448277229,0.911195888467329,1234,0.05,0,7,1,0.7,0.7,1,"binary:logistic",50000,100
